abjurons	a b ʒ y ʁ ɔ̃
abjuré	a b ʒ y ʁ e
abkhaze	a b k a z
ablatif	a b l a t i f
ablation	a b l a s j ɔ̃
ablations	a b l a s j ɔ̃
able	a b l
ablette	a b l ɛ t
ablettes	a b l ɛ t
ablution	a b l y s j ɔ̃
ablutions	a b l y s j ɔ̃
abnégation	a b n e g a s j ɔ̃
aboi	a b w a
aboie	a b w a
aboiement	a b w a m ə
aboiements	a b w a m ə
aboient	a b w a
aboiera	a b w a ʁ a
aboierait	a b w a ʁ ɛ
aboieront	a b w a ʁ ɔ̃
aboies	a b w a
abois	a b w a
aboli	a b o l i
aboli	a b o l i
abolie	a b o l i
abolie	a b o l i
abolies	a b o l i
abolies	a b o l i
abolir	a b o l i ʁ
abolira	a b o l i ʁ a
abolirait	a b o l i ʁ ɛ
aboliras	a b o l i ʁ a
abolis	a b o l i
abolis	a b o l i
abolissaient	a b o l i s ɛ
abolissais	a b o l i s ɛ
abolissait	a b o l i s ɛ
abolissant	a b o l i s ə
abolissent	a b o l i s
abolissions	a b o l i s j ɔ̃
abolissons	a b o l i s ɔ̃
abolit	a b o l i
abolition	a b o l i s j ɔ̃
abolitionniste	a b o l i s j o n i s t
abolitionniste	a b o l i s j o n i s t
abolitionnistes	a b o l i s j o n i s t
abolitionnistes	a b o l i s j o n i s t
abominable	a b o m i n a b l
abominablement	a b o m i n a b l ə m ə
abominables	a b o m i n a b l
abominaient	a b o m i n ɛ
abomination	a b o m i n a s j ɔ̃
abominations	a b o m i n a s j ɔ̃
abomine	a b o m i n
abominer	a b o m i n e
abonda	a b ɔ̃ d a
abondai	a b ɔ̃ d ɛ
abondaient	a b ɔ̃ d ɛ
abondais	a b ɔ̃ d ɛ
abondait	a b ɔ̃ d ɛ
abondamment	a b ɔ̃ d a m ə
abondance	a b ɔ̃ d ə s
abondant	a b ɔ̃ d ə
abondant	a b ɔ̃ d ə
abondante	a b ɔ̃ d ə t
abondantes	a b ɔ̃ d ə t
abondants	a b ɔ̃ d ə
abondassent	a b ɔ̃ d a s
abonde	a b ɔ̃ d
abondent	a b ɔ̃ d
abonder	a b ɔ̃ d e
abondé	a b ɔ̃ d e
abonnai	a b o n ɛ
abonnant	a b ɔ n ə
abonne	a b ɔ n
abonnement	a b ɔ n ə m ə
abonnements	a b ɔ n ə m ə
abonner	a b o n e
abonnez	a b o n e
abonnât	a b o n a
abonné	a b o n e
abonné	a b o n e
abonné	a b o n e
abonnée	a b o n e
abonnée	a b o n e
abonnée	a b o n e
abonnées	a b o n e
abonnées	a b o n e
abonnés	a b o n e
abonnés	a b o n e
abonnés	a b o n e
abord	a b ɔ ʁ
aborda	a b ɔ ʁ d a
abordable	a b ɔ ʁ d a b l
abordables	a b ɔ ʁ d a b l
abordage	a b ɔ ʁ d a ʒ
abordages	a b ɔ ʁ d a ʒ
abordai	a b ɔ ʁ d ɛ
abordaient	a b ɔ ʁ d ɛ
abordais	a b ɔ ʁ d ɛ
abordait	a b ɔ ʁ d ɛ
abordant	a b ɔ ʁ d ə
aborde	a b ɔ ʁ d
abordent	a b ɔ ʁ d
aborder	a b ɔ ʁ d e
abordera	a b ɔ ʁ d ə ʁ a
aborderai	a b ɔ ʁ d ə ʁ ɛ
aborderaient	a b ɔ ʁ d ə ʁ ɛ
aborderais	a b ɔ ʁ d ə ʁ ɛ
aborderait	a b ɔ ʁ d ə ʁ ɛ
aborderiez	a b ɔ ʁ d ə ʁ j e
aborderions	a b ɔ ʁ d ə ʁ j ɔ̃
aborderons	a b ɔ ʁ d ə ʁ ɔ̃
aborderont	a b ɔ ʁ d ə ʁ ɔ̃
abordes	a b ɔ ʁ d
abordez	a b ɔ ʁ d e
abordiez	a b ɔ ʁ d j e
abordions	a b ɔ ʁ d j ɔ̃
abordons	a b ɔ ʁ d ɔ̃
abords	a b ɔ ʁ
abordâmes	a b ɔ ʁ d a m
abordèrent	a b ɔ ʁ d ɛ ʁ
abordé	a b ɔ ʁ d e
abordé	a b ɔ ʁ d e
abordée	a b ɔ ʁ d e
abordées	a b ɔ ʁ d e
abordées	a b ɔ ʁ d e
abordés	a b ɔ ʁ d e
abordés	a b ɔ ʁ d e
aborigène	a b o ʁ i ʒ ɛ n
aborigène	a b o ʁ i ʒ ɛ n
aborigènes	a b o ʁ i ʒ ɛ n
aborigènes	a b o ʁ i ʒ ɛ n
abornement	a b ɔ ʁ n ə m ə
abortif	a b ɔ ʁ t i f
abortive	a b ɔ ʁ t i v
abortives	a b ɔ ʁ t i v
abouchaient	a b u ʃ ɛ
abouchais	a b u ʃ ɛ
abouchait	a b u ʃ ɛ
abouchant	a b u ʃ ə
abouchements	a b u ʃ ə m ə
aboucher	a b u ʃ e
abouché	a b u ʃ e
abouchée	a b u ʃ e
abouchés	a b u ʃ e
aboule	a b u l
abouler	a b u l e
aboules	a b u l
aboulez	a b u l e
aboulie	a b u l i
aboulique	a b u l i k
abouliques	a b u l i k
abounas	a b u n a
about	a b u
aboutait	a b u t ɛ
abouti	a b u t i
abouti	a b u t i
aboutie	a b u t i
aboutie	a b u t i
aboutir	a b u t i ʁ
aboutira	a b u t i ʁ a
aboutirai	a b u t i ʁ ɛ
aboutiraient	a b u t i ʁ ɛ
aboutirais	a b u t i ʁ ɛ
aboutirait	a b u t i ʁ ɛ
aboutiras	a b u t i ʁ a
aboutirent	a b u t i ʁ
aboutirons	a b u t i ʁ ɔ̃
aboutiront	a b u t i ʁ ɔ̃
aboutis	a b u t i
aboutis	a b u t i
aboutissaient	a b u t i s ɛ
aboutissait	a b u t i s ɛ
aboutissant	a b u t i s ə
aboutissant	a b u t i s ə
aboutissants	a b u t i s ə
aboutisse	a b u t i s
aboutissement	a b u t i s ə m ə
aboutissent	a b u t i s
aboutissez	a b u t i s e
aboutissiez	a b u t i s j e
aboutissions	a b u t i s j ɔ̃
aboutit	a b u t i
aboutonnai	a b u t o n ɛ
aboutons	a b u t ɔ̃
aboutîmes	a b u t i m
aboya	a b w a j a
aboyaient	a b w a j ɛ
aboyait	a b w a j ɛ
aboyant	a b w a j ə
aboyant	a b w a j ə
aboyante	a b w a j ə t
aboyer	a b w a j e
aboyeur	a b w a j ʁ
aboyeur	a b w a j ʁ
aboyeurs	a b w a j ʁ
aboyeurs	a b w a j ʁ
aboyons	a b w a j ɔ̃
aboyèrent	a b w a j ɛ ʁ
aboyé	a b w a j e
abracadabra	a b ʁ a k a d a b ʁ a
abracadabrant	a b ʁ a k a d a b ʁ ə
abracadabrante	a b ʁ a k a d a b ʁ ə t
abracadabrantes	a b ʁ a k a d a b ʁ ə t
abracadabrants	a b ʁ a k a d a b ʁ ə
abracadabré	a b ʁ a k a d a b ʁ e
abrasif	a b ʁ a z i f
abrasif	a b ʁ a z i f
abrasifs	a b ʁ a z i f
abrasifs	a b ʁ a z i f
abrasion	a b ʁ a z j ɔ̃
abrasive	a b ʁ a z i v
abrasé	a b ʁ a z e
abraxas	a b ʁ a k s a s
abreuva	a b ʁ v a
abreuvage	a b ʁ v a ʒ
abreuvaient	a b ʁ v ɛ
abreuvait	a b ʁ v ɛ
abreuvant	a b ʁ v ə
abreuve	a b ʁ v
abreuvent	a b ʁ v
abreuver	a b ʁ v e
abreuvera	a b ʁ v ə ʁ a
abreuveraient	a b ʁ v ə ʁ ɛ
abreuvez	a b ʁ v e
abreuvoir	a b ʁ v w a ʁ
abreuvoirs	a b ʁ v w a ʁ
abreuvons	a b ʁ v ɔ̃
abreuvé	a b ʁ v e
abreuvé	a b ʁ v e
abreuvée	a b ʁ v e
abreuvés	a b ʁ v e
abreuvés	a b ʁ v e
abri	a b ʁ i
abri refuge	a b ʁ i ʁ ə f y ʒ
abribus	a b ʁ i b y s
abricot	a b ʁ i k o
abricot	a b ʁ i k o
abricotez	a b ʁ i k o t e
abricotier	a b ʁ i k o t j e
abricotiers	a b ʁ i k o t j e
abricotine	a b ʁ i k o t i n
abricots	a b ʁ i k o
abris	a b ʁ i
abrita	a b ʁ i t a
abritai	a b ʁ i t ɛ
abritaient	a b ʁ i t ɛ
abritais	a b ʁ i t ɛ
abritait	a b ʁ i t ɛ
abritant	a b ʁ i t ə
abritant	a b ʁ i t ə
abrite	a b ʁ i t
abritent	a b ʁ i t
abriter	a b ʁ i t e
abritera	a b ʁ i t ə ʁ a
abriterait	a b ʁ i t ə ʁ ɛ
abriterons	a b ʁ i t ə ʁ ɔ̃
abriteront	a b ʁ i t ə ʁ ɔ̃
abrites	a b ʁ i t
abritez	a b ʁ i t e
abritiez	a b ʁ i t j e
abritions	a b ʁ i t j ɔ̃
abritons	a b ʁ i t ɔ̃
abritâmes	a b ʁ i t a m
abritèrent	a b ʁ i t ɛ ʁ
abrité	a b ʁ i t e
abrité	a b ʁ i t e
abritée	a b ʁ i t e
abritée	a b ʁ i t e
abritées	a b ʁ i t e
abrités	a b ʁ i t e
abrités	a b ʁ i t e
abrogation	a b ʁ o g a s j ɔ̃
abrogent	a b ʁ ɔ ʒ
abroger	a b ʁ o ʒ e
abrogé	a b ʁ o ʒ e
abrogé	a b ʁ o ʒ e
abrogée	a b ʁ o ʒ e
abrogées	a b ʁ o ʒ e
abrogés	a b ʁ o ʒ e
abrupt	a b ʁ y p t
abrupt	a b ʁ y p t
abrupte	a b ʁ y p t
abruptement	a b ʁ y p t ə m ə
abruptes	a b ʁ y p t
abrupts	a b ʁ y p t
abrupts	a b ʁ y p t
abruti	a b ʁ y t i
abruti	a b ʁ y t i
abruti	a b ʁ y t i
abrutie	a b ʁ y t i
abrutie	a b ʁ y t i
abrutie	a b ʁ y t i
abruties	a b ʁ y t i
abruties	a b ʁ y t i
abruties	a b ʁ y t i
abrutir	a b ʁ y t i ʁ
abrutira	a b ʁ y t i ʁ a
abrutis	a b ʁ y t i
abrutis	a b ʁ y t i
abrutis	a b ʁ y t i
abrutissaient	a b ʁ y t i s ɛ
abrutissais	a b ʁ y t i s ɛ
abrutissait	a b ʁ y t i s ɛ
abrutissant	a b ʁ y t i s ə
abrutissant	a b ʁ y t i s ə
abrutissante	a b ʁ y t i s ə t
abrutissantes	a b ʁ y t i s ə t
abrutissants	a b ʁ y t i s ə
abrutissement	a b ʁ y t i s ə m ə
abrutissent	a b ʁ y t i s
abrutisseur	a b ʁ y t i s ʁ
abrutissions	a b ʁ y t i s j ɔ̃
abrutit	a b ʁ y t i
abrège	a b ʁ ɛ ʒ
abrègent	a b ʁ ɛ ʒ
abrégea	a b ʁ e ʒ a
abrégeai	a b ʁ e ʒ ɛ
abrégeaient	a b ʁ e ʒ ɛ
abrégeait	a b ʁ e ʒ ɛ
abrégeant	a b ʁ e ʒ ə
abrégeons	a b ʁ e ʒ ɔ̃
abréger	a b ʁ e ʒ e
abrégera	a b ʁ e ʒ ə ʁ a
abrégerai	a b ʁ e ʒ ə ʁ ɛ
abrégerait	a b ʁ e ʒ ə ʁ ɛ
abrégez	a b ʁ e ʒ e
abrégeât	a b ʁ e ʒ a
abrégé	a b ʁ e ʒ e
abrégé	a b ʁ e ʒ e
abrégé	a b ʁ e ʒ e
abrégée	a b ʁ e ʒ e
abrégée	a b ʁ e ʒ e
abrégés	a b ʁ e ʒ e
abrégés	a b ʁ e ʒ e
abréviatif	a b ʁ e v j a t i f
abréviation	a b ʁ e v j a s j ɔ̃
abréviations	a b ʁ e v j a s j ɔ̃
abscisse	a p s i s
abscission	a p s i s j ɔ̃
abscons	a p s k ɔ̃
absconse	a p s k ɔ̃ s
absconses	a p s k ɔ̃ s
absence	a p s ə s
absences	a p s ə s
absent	a p s ə
absent	a p s ə
absenta	a p s ə t a
absentai	a p s ə t ɛ
absentaient	a p s ə t ɛ
absentais	a p s ə t ɛ
absentait	a p s ə t ɛ
absentant	a p s ə t ə
absente	a p s ə t
absente	a p s ə t
absente	a p s ə t
absenter	a p s ə t e
absentera	a p s ə t ə ʁ a
absenterai	a p s ə t ə ʁ ɛ
absenterait	a p s ə t ə ʁ ɛ
absentes	a p s ə t
absentes	a p s ə t
absentes	a p s ə t
absents	a p s ə
absents	a p s ə
absentèrent	a p s ə t ɛ ʁ
absenté	a p s ə t e
absentée	a p s ə t e
absentéisme	a p s ə t e i z m
absentéiste	a p s ə t e i s t
absentéiste	a p s ə t e i s t
absentés	a p s ə t e
abside	a p s i d
absides	a p s i d
absidiales	a p s i d j a l
absidiole	a p s i d j ɔ l
absinthant	a p s ɛ̃ t ə
absinthe	a p s ɛ̃ t
absolu	a p s o l y
absolu	a p s o l y
absolue	a p s o l y
absolues	a p s o l y
absolument	a p s o l y m ə
absolus	a p s o l y
absolus	a p s o l y
absolution	a p s o l y s j ɔ̃
absolutisme	a p s o l y t i z m
absolvaient	a p s ɔ l v ɛ
absolvait	a p s ɔ l v ɛ
absolvant	a p s ɔ l v ə
absolve	a p s ɔ l v
absolvent	a p s ɔ l v
absolves	a p s ɔ l v
absorba	a p s ɔ ʁ b a
absorbables	a p s ɔ ʁ b a b l
absorbai	a p s ɔ ʁ b ɛ
absorbaient	a p s ɔ ʁ b ɛ
absorbais	a p s ɔ ʁ b ɛ
absorbait	a p s ɔ ʁ b ɛ
absorbant	a p s ɔ ʁ b ə
absorbant	a p s ɔ ʁ b ə
absorbant	a p s ɔ ʁ b ə
absorbante	a p s ɔ ʁ b ə t
absorbantes	a p s ɔ ʁ b ə t
absorbants	a p s ɔ ʁ b ə
absorbe	a p s ɔ ʁ b
absorbent	a p s ɔ ʁ b
absorber	a p s ɔ ʁ b e
absorbera	a p s ɔ ʁ b ə ʁ a
absorberai	a p s ɔ ʁ b ə ʁ ɛ
absorberaient	a p s ɔ ʁ b ə ʁ ɛ
absorberait	a p s ɔ ʁ b ə ʁ ɛ
absorbeur	a p s ɔ ʁ b ʁ
absorbez	a p s ɔ ʁ b e
absorbions	a p s ɔ ʁ b j ɔ̃
absorbons	a p s ɔ ʁ b ɔ̃
absorbèrent	a p s ɔ ʁ b ɛ ʁ
absorbé	a p s ɔ ʁ b e
absorbé	a p s ɔ ʁ b e
absorbée	a p s ɔ ʁ b e
absorbée	a p s ɔ ʁ b e
absorbées	a p s ɔ ʁ b e
absorbées	a p s ɔ ʁ b e
absorbés	a p s ɔ ʁ b e
absorbés	a p s ɔ ʁ b e
absorption	a p s ɔ ʁ p s j ɔ̃
absorptions	a p s ɔ ʁ p s j ɔ̃
absoudrai	a p s u d ʁ ɛ
absoudrait	a p s u d ʁ ɛ
absoudre	a p s u d ʁ
absoudriez	a p s u d ʁ i j e
absous	a p s u
absous	a p s u
absout	a p s u
absoute	a p s u t
absoute	a p s u t
absoute	a p s u t
absoutes	a p s u t
abstenaient	a p s t ə n ɛ
abstenais	a p s t ə n ɛ
abstenait	a p s t ə n ɛ
abstenant	a p s t ə n ə
abstenez	a p s t ə n e
absteniez	a p s t ə n j e
abstenions	a p s t ə n j ɔ̃
abstenir	a p s t ə n i ʁ
abstenons	a p s t ə n ɔ̃
abstention	a p s t ə s j ɔ̃
abstentionniste	a p s t ə s j ɔ n i s t
abstentionnistes	a p s t ə s j o n i s t
abstenu	a p s t ə n y
abstenue	a p s t ə n y
abstenue	a p s t ə n y
abstenues	a p s t ə n y
abstenus	a p s t ə n y
abstiendrai	a p s t j ɛ̃ d ʁ ɛ
abstiendraient	a p s t j ɛ̃ d ʁ ɛ
abstiendrais	a p s t j ɛ̃ d ʁ ɛ
abstiendrait	a p s t j ɛ̃ d ʁ ɛ
abstiendras	a p s t j ɛ̃ d ʁ a
abstiendrions	a p s t j ɛ̃ d ʁ j ɔ̃
abstiendrons	a p s t j ɛ̃ d ʁ ɔ̃
abstiendront	a p s t j ɛ̃ d ʁ ɔ̃
abstienne	a p s t j ɛ n
abstiennent	a p s t j ɛ n
abstiennes	a p s t j ɛ n
abstiens	a p s t j ɛ̃
abstient	a p s t j ɛ̃
abstinence	a p s t i n ə s
abstinences	a p s t i n ə s
abstinent	a p s t i n ə
abstinente	a p s t i n ə t
abstinrent	a p s t ɛ̃ ʁ
abstins	a p s t ɛ̃
abstint	a p s t ɛ̃
abstraction	a p s t ʁ a k s j ɔ̃
abstractions	a p s t ʁ a k s j ɔ̃
abstraire	a p s t ʁ ɛ ʁ
abstrais	a p s t ʁ ɛ
abstrait	a p s t ʁ ɛ
abstrait	a p s t ʁ ɛ
abstrait	a p s t ʁ ɛ
abstraite	a p s t ʁ ɛ t
abstraite	a p s t ʁ ɛ t
abstraitement	a p s t ʁ ɛ t ə m ə
abstraites	a p s t ʁ ɛ t
abstraites	a p s t ʁ ɛ t
abstraits	a p s t ʁ ɛ
abstraits	a p s t ʁ ɛ
abstraits	a p s t ʁ ɛ
abstrus	a p s t ʁ y
abstruse	a p s t ʁ y z
abstruses	a p s t ʁ y z
abstînt	a p s t ɛ̃
absurde	a p s y ʁ d
absurde	a p s y ʁ d
absurdement	a p s y ʁ d ə m ə
absurdes	a p s y ʁ d
absurdes	a p s y ʁ d
absurdistes	a p s y ʁ d i s t
absurdité	a p s y ʁ d i t e
absurdités	a p s y ʁ d i t e
abus	a b y
abusa	a b y z a
abusai	a b y z ɛ
abusaient	a b y z ɛ
abusais	a b y z ɛ
abusait	a b y z ɛ
abusant	a b y z ə
abuse	a b y z
abusent	a b y z
abuser	a b y z e
abusera	a b y z ə ʁ a
abuserai	a b y z ə ʁ ɛ
abuserais	a b y z ə ʁ ɛ
abuserait	a b y z ə ʁ ɛ
abuserez	a b y z ə ʁ e
abuseriez	a b y z ə ʁ j e
abuses	a b y z
abuseur	a b y z ʁ
abusez	a b y z e
abusiez	a b y z j e
abusif	a b y z i f
abusifs	a b y z i f
abusive	a b y z i v
abusivement	a b y z i v ə m ə
abusives	a b y z i v
abusons	a b y z ɔ̃
abusèrent	a b y z ɛ ʁ
abusé	a b y z e
abusé	a b y z e
abusée	a b y z e
abusée	a b y z e
abusées	a b y z e
abusées	a b y z e
abusés	a b y z e
abusés	a b y z e
abyme	a b i m
abyssal	a b i s a l
abyssale	a b i s a l
abyssales	a b i s a l
abysse	a b i s
abysses	a b i s
abyssin	a b i s ɛ̃
abyssin	a b i s ɛ̃
abyssinien	a b i s i n j ɛ̃
abyssinienne	a b i s i n j ɛ n
abyssins	a b i s ɛ̃
abâtardi	a b a t a ʁ d i
abâtardie	a b a t a ʁ d i
abâtardies	a b a t a ʁ d i
abâtardir	a b a t a ʁ d i ʁ
abâtardirai	a b a t a ʁ d i ʁ ɛ
abâtardissant	a b a t a ʁ d i s ə
abécédaire	a b e s e d ɛ ʁ
abêti	a b e t i
abêti	a b e t i
abêties	a b e t i
abêtir	a b e t i ʁ
abêtis	a b e t i
abêtis	a b e t i
abêtissait	a b e t i s ɛ
abêtissement	a b e t i s ə m ə
abêtit	a b e t i
abîma	a b i m a
abîmai	a b i m ɛ
abîmaient	a b i m ɛ
abîmait	a b i m ɛ
abîmant	a b i m ə
abîme	a b i m
abîme	a b i m
abîment	a b i m
abîmer	a b i m e
abîmera	a b i m ə ʁ a
abîmerai	a b i m ə ʁ ɛ
abîmerais	a b i m ə ʁ ɛ
abîmerait	a b i m ə ʁ ɛ
abîmeras	a b i m ə ʁ a
abîmerez	a b i m ə ʁ e
abîmeront	a b i m ə ʁ ɔ̃
abîmes	a b i m
abîmes	a b i m
abîmez	a b i m e
abîmions	a b i m j ɔ̃
abîmons	a b i m ɔ̃
abîmé	a b i m e
abîmée	a b i m e
abîmées	a b i m e
abîmés	a b i m e
acabit	a k a b i
acabits	a k a b i
acacia	a k a s j a
acacias	a k a s j a
acadien	a k a d j ɛ̃
acadien	a k a d j ɛ̃
acadienne	a k a d j ɛ n
acadiens	a k a d j ɛ̃
académicien	a k a d e m i s j ɛ̃
académiciens	a k a d e m i s j ɛ̃
académie	a k a d e m i
académies	a k a d e m i
académique	a k a d e m i k
académiquement	a k a d e m i k ə m ə
académiques	a k a d e m i k
académisme	a k a d e m i z m
académisé	a k a d e m i z e
acagnardai	a k a a ʁ d ɛ
acagnardait	a k a a ʁ d ɛ
acagnarder	a k a a ʁ d e
acagnardé	a k a a ʁ d e
acagnardée	a k a a ʁ d e
acajou	a k a ʒ u
acajou	a k a ʒ u
acajous	a k a ʒ u
acanthe	a k ə t
acanthes	a k ə t
acariens	a k a ʁ j ɛ̃
acariâtre	a k a ʁ j a t ʁ
acariâtres	a k a ʁ j a t ʁ
accabla	a k a b l a
accablai	a k a b l ɛ
accablaient	a k a b l ɛ
accablais	a k a b l ɛ
accablait	a k a b l ɛ
accablant	a k a b l ə
accablant	a k a b l ə
accablante	a k a b l ə t
accablantes	a k a b l ə t
accablants	a k a b l ə
accable	a k a b l
accablement	a k a b l ə m ə
